-0;0,-0;0.623237,0;0.623237,0;8.8132e-17
-0.623237;0,-0.147971;0,0.189958;0,0.623237;4.4066e-17
-0.623237;-0,-0.16807;0,0.21576;0,0.623237;-4.4066e-17
-8.8132e-17;-0,-4.4066e-17;-0.623237,4.4066e-17;-0.623237,8.8132e-17;-8.8132e-17
