-5.20631e-17;5.20631e-17,-4.7562e-17;0.172915,-3.4837e-17;0.315931,-1.60884e-17;0.40432,5.44208e-18;0.422799,2.60316e-17;0.368171,4.212e-17;0.249884,5.09254e-17;0.088389,5.09254e-17;-0.088389,4.212e-17;-0.249884,2.60316e-17;-0.368171,5.44208e-18;-0.422799,-1.60884e-17;-0.40432,-3.4837e-17;-0.315931,-4.7562e-17;-0.172915,-5.20631e-17;-4.29652e-16
-0.172915;4.7562e-17,-0.157966;0.157966,-0.115703;0.288618,-0.0534337;0.369365,0.0180745;0.386246,0.0864575;0.336341,0.139891;0.22828,0.169136;0.0807474,0.169136;-0.0807474,0.139891;-0.22828,0.0864575;-0.336341,0.0180745;-0.386246,-0.0534337;-0.369365,-0.115703;-0.288618,-0.157966;-0.157966,-0.172915;-3.92507e-16
-0.315931;3.4837e-17,-0.288618;0.115703,-0.211399;0.211399,-0.0976282;0.270543,0.0330238;0.282908,0.157966;0.246355,0.255594;0.167205,0.309028;0.0591438,0.309028;-0.0591438,0.255594;-0.167205,0.157966;-0.246355,0.0330238;-0.282908,-0.0976282;-0.270543,-0.211399;-0.211399,-0.288618;-0.115703,-0.315931;-2.87494e-16
-0.40432;1.60884e-17,-0.369365;0.0534337,-0.270543;0.0976282,-0.124942;0.124942,0.042263;0.130652,0.20216;0.113771,0.327102;0.0772183,0.395485;0.0273137,0.395485;-0.0273137,0.327102;-0.0772183,0.20216;-0.113771,0.042263;-0.130652,-0.124942;-0.124942,-0.270543;-0.0976282,-0.369365;-0.0534337,-0.40432;-1.3277e-16
-0.422799;-5.44208e-18,-0.386246;-0.0180745,-0.282908;-0.0330238,-0.130652;-0.042263,0.0441945;-0.0441945,0.211399;-0.0384844,0.342051;-0.02612,0.41356;-0.00923917,0.41356;0.00923917,0.342051;0.02612,0.211399;0.0384844,0.0441945;0.0441945,-0.130652;0.042263,-0.282908;0.0330238,-0.386246;0.0180745,-0.422799;4.49109e-17
-0.368171;-2.60316e-17,-0.336341;-0.0864575,-0.246355;-0.157966,-0.113771;-0.20216,0.0384844;-0.211399,0.184086;-0.184086,0.297857;-0.124942,0.360126;-0.0441945,0.360126;0.0441945,0.297857;0.124942,0.184086;0.184086,0.0384844;0.211399,-0.113771;0.20216,-0.246355;0.157966,-0.336341;0.0864575,-0.368171;2.14826e-16
-0.249884;-4.212e-17,-0.22828;-0.139891,-0.167205;-0.255594,-0.0772183;-0.327102,0.02612;-0.342051,0.124942;-0.297857,0.20216;-0.20216,0.244423;-0.0715082,0.244423;0.0715082,0.20216;0.20216,0.124942;0.297857,0.02612;0.342051,-0.0772183;0.327102,-0.167205;0.255594,-0.22828;0.139891,-0.249884;3.47596e-16
-0.088389;-5.09254e-17,-0.0807474;-0.169136,-0.0591438;-0.309028,-0.0273137;-0.395485,0.00923917;-0.41356,0.0441945;-0.360126,0.0715082;-0.244423,0.0864575;-0.0864575,0.0864575;0.0864575,0.0715082;0.244423,0.0441945;0.360126,0.00923917;0.41356,-0.0273137;0.395485,-0.0591438;0.309028,-0.0807474;0.169136,-0.088389;4.20263e-16
0.088389;-5.09254e-17,0.0807474;-0.169136,0.0591438;-0.309028,0.0273137;-0.395485,-0.00923917;-0.41356,-0.0441945;-0.360126,-0.0715082;-0.244423,-0.0864575;-0.0864575,-0.0864575;0.0864575,-0.0715082;0.244423,-0.0441945;0.360126,-0.00923917;0.41356,0.0273137;0.395485,0.0591438;0.309028,0.0807474;0.169136,0.088389;4.20263e-16
0.249884;-4.212e-17,0.22828;-0.139891,0.167205;-0.255594,0.0772183;-0.327102,-0.02612;-0.342051,-0.124942;-0.297857,-0.20216;-0.20216,-0.244423;-0.0715082,-0.244423;0.0715082,-0.20216;0.20216,-0.124942;0.297857,-0.02612;0.342051,0.0772183;0.327102,0.167205;0.255594,0.22828;0.139891,0.249884;3.47596e-16
0.368171;-2.60316e-17,0.336341;-0.0864575,0.246355;-0.157966,0.113771;-0.20216,-0.0384844;-0.211399,-0.184086;-0.184086,-0.297857;-0.124942,-0.360126;-0.0441945,-0.360126;0.0441945,-0.297857;0.124942,-0.184086;0.184086,-0.0384844;0.211399,0.113771;0.20216,0.246355;0.157966,0.336341;0.0864575,0.368171;2.14826e-16
0.422799;-5.44208e-18,0.386246;-0.0180745,0.282908;-0.0330238,0.130652;-0.042263,-0.0441945;-0.0441945,-0.211399;-0.0384844,-0.342051;-0.02612,-0.41356;-0.00923917,-0.41356;0.00923917,-0.342051;0.02612,-0.211399;0.0384844,-0.0441945;0.0441945,0.130652;0.042263,0.282908;0.0330238,0.386246;0.0180745,0.422799;4.49109e-17
0.40432;1.60884e-17,0.369365;0.0534337,0.270543;0.0976282,0.124942;0.124942,-0.042263;0.130652,-0.20216;0.113771,-0.327102;0.0772183,-0.395485;0.0273137,-0.395485;-0.0273137,-0.327102;-0.0772183,-0.20216;-0.113771,-0.042263;-0.130652,0.124942;-0.124942,0.270543;-0.0976282,0.369365;-0.0534337,0.40432;-1.3277e-16
0.315931;3.4837e-17,0.288618;0.115703,0.211399;0.211399,0.0976282;0.270543,-0.0330238;0.282908,-0.157966;0.246355,-0.255594;0.167205,-0.309028;0.0591438,-0.309028;-0.0591438,-0.255594;-0.167205,-0.157966;-0.246355,-0.0330238;-0.282908,0.0976282;-0.270543,0.211399;-0.211399,0.288618;-0.115703,0.315931;-2.87494e-16
0.172915;4.7562e-17,0.157966;0.157966,0.115703;0.288618,0.0534337;0.369365,-0.0180745;0.386246,-0.0864575;0.336341,-0.139891;0.22828,-0.169136;0.0807474,-0.169136;-0.0807474,-0.139891;-0.22828,-0.0864575;-0.336341,-0.0180745;-0.386246,0.0534337;-0.369365,0.115703;-0.288618,0.157966;-0.157966,0.172915;-3.92507e-16
4.29652e-16;5.20631e-17,3.92507e-16;0.172915,2.87494e-16;0.315931,1.3277e-16;0.40432,-4.49109e-17;0.422799,-2.14826e-16;0.368171,-3.47596e-16;0.249884,-4.20263e-16;0.088389,-4.20263e-16;-0.088389,-3.47596e-16;-0.249884,-2.14826e-16;-0.368171,-4.49109e-17;-0.422799,1.3277e-16;-0.40432,2.87494e-16;-0.315931,3.92507e-16;-0.172915,4.29652e-16;-4.29652e-16
