-1.00527e-16;1.00527e-16,-9.18364e-17;0.333877,-6.7266e-17;0.610024,-3.10647e-17;0.780693,1.0508e-17;0.816372,5.02637e-17;0.710893,8.13284e-17;0.482495,9.83307e-17;0.170668,9.83307e-17;-0.170668,8.13284e-17;-0.482495,5.02637e-17;-0.710893,1.0508e-17;-0.816372,-3.10647e-17;-0.780693,-6.7266e-17;-0.610024,-9.18364e-17;-0.333877,-1.00527e-16;-8.29605e-16
-0.333877;9.18364e-17,-0.305012;0.305012,-0.223408;0.557285,-0.103174;0.713198,0.0348997;0.745793,0.166939;0.649433,0.270112;0.440781,0.326581;0.155913,0.326581;-0.155913,0.270112;-0.440781,0.166939;-0.649433,0.0348997;-0.745793,-0.103174;-0.713198,-0.223408;-0.557285,-0.305012;-0.305012,-0.333877;-7.57882e-16
-0.610024;6.7266e-17,-0.557285;0.223408,-0.408186;0.408186,-0.188508;0.522385,0.0637649;0.546259,0.305012;0.47568,0.49352;0.322852,0.596694;0.114199,0.596694;-0.114199,0.49352;-0.322852,0.305012;-0.47568,0.0637649;-0.546259,-0.188508;-0.522385,-0.408186;-0.408186,-0.557285;-0.223408,-0.610024;-5.55114e-16
-0.780693;3.10647e-17,-0.713198;0.103174,-0.522385;0.188508,-0.241247;0.241247,0.0816046;0.252273,0.390346;0.219678,0.631594;0.149099,0.763633;0.0527394,0.763633;-0.0527394,0.631594;-0.149099,0.390346;-0.219678,0.0816046;-0.252273,-0.241247;-0.241247,-0.522385;-0.188508,-0.713198;-0.103174,-0.780693;-2.56362e-16
-0.816372;-1.0508e-17,-0.745793;-0.0348997,-0.546259;-0.0637649,-0.252273;-0.0816046,0.0853341;-0.0853341,0.408186;-0.0743086,0.660459;-0.0504344,0.798532;-0.0178397,0.798532;0.0178397,0.660459;0.0504344,0.408186;0.0743086,0.0853341;0.0853341,-0.252273;0.0816046,-0.546259;0.0637649,-0.745793;0.0348997,-0.816372;8.67174e-17
-0.710893;-5.02637e-17,-0.649433;-0.166939,-0.47568;-0.305012,-0.219678;-0.390346,0.0743086;-0.408186,0.355447;-0.355447,0.575125;-0.241247,0.695358;-0.0853341,0.695358;0.0853341,0.575125;0.241247,0.355447;0.355447,0.0743086;0.408186,-0.219678;0.390346,-0.47568;0.305012,-0.649433;0.166939,-0.710893;4.14803e-16
-0.482495;-8.13284e-17,-0.440781;-0.270112,-0.322852;-0.49352,-0.149099;-0.631594,0.0504344;-0.660459,0.241247;-0.575125,0.390346;-0.390346,0.471951;-0.138073,0.471951;0.138073,0.390346;0.390346,0.241247;0.575125,0.0504344;0.660459,-0.149099;0.631594,-0.322852;0.49352,-0.440781;0.270112,-0.482495;6.71165e-16
-0.170668;-9.83307e-17,-0.155913;-0.326581,-0.114199;-0.596694,-0.0527394;-0.763633,0.0178397;-0.798532,0.0853341;-0.695358,0.138073;-0.471951,0.166939;-0.166939,0.166939;0.166939,0.138073;0.471951,0.0853341;0.695358,0.0178397;0.798532,-0.0527394;0.763633,-0.114199;0.596694,-0.155913;0.326581,-0.170668;8.11476e-16
0.170668;-9.83307e-17,0.155913;-0.326581,0.114199;-0.596694,0.0527394;-0.763633,-0.0178397;-0.798532,-0.0853341;-0.695358,-0.138073;-0.471951,-0.166939;-0.166939,-0.166939;0.166939,-0.138073;0.471951,-0.0853341;0.695358,-0.0178397;0.798532,0.0527394;0.763633,0.114199;0.596694,0.155913;0.326581,0.170668;8.11476e-16
0.482495;-8.13284e-17,0.440781;-0.270112,0.322852;-0.49352,0.149099;-0.631594,-0.0504344;-0.660459,-0.241247;-0.575125,-0.390346;-0.390346,-0.471951;-0.138073,-0.471951;0.138073,-0.390346;0.390346,-0.241247;0.575125,-0.0504344;0.660459,0.149099;0.631594,0.322852;0.49352,0.440781;0.270112,0.482495;6.71165e-16
