-1.07364e-16;1.07364e-16,-9.80822e-17;0.356584,-7.18408e-17;0.651512,-3.31774e-17;0.833788,1.12226e-17;0.871894,5.36822e-17;0.759241,8.68596e-17;0.515309,1.05018e-16;0.182275,1.05018e-16;-0.182275,8.68596e-17;-0.515309,5.36822e-17;-0.759241,1.12226e-17;-0.871894,-3.31774e-17;-0.833788,-7.18408e-17;-0.651512,-9.80822e-17;-0.356584,-1.07364e-16;-8.86027e-16
-0.356584;9.80822e-17,-0.325756;0.325756,-0.238602;0.595186,-0.110191;0.761703,0.0372732;0.796514,0.178292;0.693601,0.288483;0.470758,0.348792;0.166517,0.348792;-0.166517,0.288483;-0.470758,0.178292;-0.693601,0.0372732;-0.796514,-0.110191;-0.761703,-0.238602;-0.595186,-0.325756;-0.325756,-0.356584;-8.09426e-16
-0.651512;7.18408e-17,-0.595186;0.238602,-0.435947;0.435947,-0.201328;0.557913,0.0681016;0.583411,0.325756;0.508032,0.527084;0.344809,0.637275;0.121966,0.637275;-0.121966,0.527084;-0.344809,0.325756;-0.508032,0.0681016;-0.583411,-0.201328;-0.557913,-0.435947;-0.435947,-0.595186;-0.238602,-0.651512;-5.92868e-16
-0.833788;3.31774e-17,-0.761703;0.110191,-0.557913;0.201328,-0.257655;0.257655,0.0871545;0.26943,0.416894;0.234618,0.674548;0.159239,0.815567;0.0563262,0.815567;-0.0563262,0.674548;-0.159239,0.416894;-0.234618,0.0871545;-0.26943,-0.257655;-0.257655,-0.557913;-0.201328,-0.761703;-0.110191,-0.833788;-2.73797e-16
-0.871894;-1.12226e-17,-0.796514;-0.0372732,-0.583411;-0.0681016,-0.26943;-0.0871545,0.0911377;-0.0911377,0.435947;-0.0793623,0.705377;-0.0538645,0.852841;-0.019053,0.852841;0.019053,0.705377;0.0538645,0.435947;0.0793623,0.0911377;0.0911377,-0.26943;0.0871545,-0.583411;0.0681016,-0.796514;0.0372732,-0.871894;9.2615e-17
-0.759241;-5.36822e-17,-0.693601;-0.178292,-0.508032;-0.325756,-0.234618;-0.416894,0.0793623;-0.435947,0.379621;-0.379621,0.614239;-0.257655,0.74265;-0.0911377,0.74265;0.0911377,0.614239;0.257655,0.379621;0.379621,0.0793623;0.435947,-0.234618;0.416894,-0.508032;0.325756,-0.693601;0.178292,-0.759241;4.43013e-16
-0.515309;-8.68596e-17,-0.470758;-0.288483,-0.344809;-0.527084,-0.159239;-0.674548,0.0538645;-0.705377,0.257655;-0.614239,0.416894;-0.416894,0.504048;-0.147464,0.504048;0.147464,0.416894;0.416894,0.257655;0.614239,0.0538645;0.705377,-0.159239;0.674548,-0.344809;0.527084,-0.470758;0.288483,-0.515309;7.16811e-16
-0.182275;-1.05018e-16,-0.166517;-0.348792,-0.121966;-0.637275,-0.0563262;-0.815567,0.019053;-0.852841,0.0911377;-0.74265,0.147464;-0.504048,0.178292;-0.178292,0.178292;0.178292,0.147464;0.504048,0.0911377;0.74265,0.019053;0.852841,-0.0563262;0.815567,-0.121966;0.637275,-0.166517;0.348792,-0.182275;8.66665e-16
0.182275;-1.05018e-16,0.166517;-0.348792,0.121966;-0.637275,0.0563262;-0.815567,-0.019053;-0.852841,-0.0911377;-0.74265,-0.147464;-0.504048,-0.178292;-0.178292,-0.178292;0.178292,-0.147464;0.504048,-0.0911377;0.74265,-0.019053;0.852841,0.0563262;0.815567,0.121966;0.637275,0.166517;0.348792,0.182275;8.66665e-16
0.515309;-8.68596e-17,0.470758;-0.288483,0.344809;-0.527084,0.159239;-0.674548,-0.0538645;-0.705377,-0.257655;-0.614239,-0.416894;-0.416894,-0.504048;-0.147464,-0.504048;0.147464,-0.416894;0.416894,-0.257655;0.614239,-0.0538645;0.705377,0.159239;0.674548,0.344809;0.527084,0.470758;0.288483,0.515309;7.16811e-16
0.759241;-5.36822e-17,0.693601;-0.178292,0.508032;-0.325756,0.234618;-0.416894,-0.0793623;-0.435947,-0.379621;-0.379621,-0.614239;-0.257655,-0.74265;-0.0911377,-0.74265;0.0911377,-0.614239;0.257655,-0.379621;0.379621,-0.0793623;0.435947,0.234618;0.416894,0.508032;0.325756,0.693601;0.178292,0.759241;4.43013e-16
