-8.25198e-17;8.25198e-17,-7.53856e-17;0.27407,-5.52165e-17;0.50075,-2.55e-17;0.640846,8.62567e-18;0.670134,4.12599e-17;0.58355,6.67599e-17;0.396065,8.07166e-17;0.140096,8.07166e-17;-0.140096,6.67599e-17;-0.396065,4.12599e-17;-0.58355,8.62567e-18;-0.670134,-2.55e-17;-0.640846,-5.52165e-17;-0.50075,-7.53856e-17;-0.27407,-8.25198e-17;-6.80997e-16
-0.27407;7.53856e-17,-0.250375;0.250375,-0.183388;0.457458,-0.0846921;0.585442,0.0286481;0.612198,0.137035;0.533099,0.221727;0.361823,0.26808;0.127984,0.26808;-0.127984,0.221727;-0.361823,0.137035;-0.533099,0.0286481;-0.612198,-0.0846921;-0.585442,-0.183388;-0.457458,-0.250375;-0.250375,-0.27407;-6.22122e-16
-0.50075;5.52165e-17,-0.457458;0.183388,-0.335067;0.335067,-0.15474;0.42881,0.0523426;0.448407,0.250375;0.390471,0.405115;0.265019,0.489807;0.0937426,0.489807;-0.0937426,0.405115;-0.265019,0.250375;-0.390471,0.0523426;-0.448407,-0.15474;-0.42881,-0.335067;-0.335067,-0.457458;-0.183388,-0.50075;-4.55676e-16
-0.640846;2.55e-17,-0.585442;0.0846921,-0.42881;0.15474,-0.198032;0.198032,0.0669867;0.207083,0.320423;0.180327,0.518455;0.122391,0.626842;0.0432921,0.626842;-0.0432921,0.518455;-0.122391,0.320423;-0.180327,0.0669867;-0.207083,-0.198032;-0.198032,-0.42881;-0.15474,-0.585442;-0.0846921,-0.640846;-2.1044e-16
-0.670134;-8.62567e-18,-0.612198;-0.0286481,-0.448407;-0.0523426,-0.207083;-0.0669867,0.0700481;-0.0700481,0.335067;-0.0609976,0.54215;-0.0414,0.65549;-0.014644,0.65549;0.014644,0.54215;0.0414,0.335067;0.0609976,0.0700481;0.0700481,-0.207083;0.0669867,-0.448407;0.0523426,-0.612198;0.0286481,-0.670134;7.11836e-17
-0.58355;-4.12599e-17,-0.533099;-0.137035,-0.390471;-0.250375,-0.180327;-0.320423,0.0609976;-0.335067,0.291775;-0.291775,0.472102;-0.198032,0.570798;-0.0700481,0.570798;0.0700481,0.472102;0.198032,0.291775;0.291775,0.0609976;0.335067,-0.180327;0.320423,-0.390471;0.250375,-0.533099;0.137035,-0.58355;3.40499e-16
-0.396065;-6.67599e-17,-0.361823;-0.221727,-0.265019;-0.405115,-0.122391;-0.518455,0.0414;-0.54215,0.198032;-0.472102,0.320423;-0.320423,0.38741;-0.11334,0.38741;0.11334,0.320423;0.320423,0.198032;0.472102,0.0414;0.54215,-0.122391;0.518455,-0.265019;0.405115,-0.361823;0.221727,-0.396065;5.50938e-16
-0.140096;-8.07166e-17,-0.127984;-0.26808,-0.0937426;-0.489807,-0.0432921;-0.626842,0.014644;-0.65549,0.0700481;-0.570798,0.11334;-0.38741,0.137035;-0.137035,0.137035;0.137035,0.11334;0.38741,0.0700481;0.570798,0.014644;0.65549,-0.0432921;0.626842,-0.0937426;0.489807,-0.127984;0.26808,-0.140096;6.66116e-16
0.140096;-8.07166e-17,0.127984;-0.26808,0.0937426;-0.489807,0.0432921;-0.626842,-0.014644;-0.65549,-0.0700481;-0.570798,-0.11334;-0.38741,-0.137035;-0.137035,-0.137035;0.137035,-0.11334;0.38741,-0.0700481;0.570798,-0.014644;0.65549,0.0432921;0.626842,0.0937426;0.489807,0.127984;0.26808,0.140096;6.66116e-16
0.396065;-6.67599e-17,0.361823;-0.221727,0.265019;-0.405115,0.122391;-0.518455,-0.0414;-0.54215,-0.198032;-0.472102,-0.320423;-0.320423,-0.38741;-0.11334,-0.38741;0.11334,-0.320423;0.320423,-0.198032;0.472102,-0.0414;0.54215,0.122391;0.518455,0.265019;0.405115,0.361823;0.221727,0.396065;5.50938e-16
0.58355;-4.12599e-17,0.533099;-0.137035,0.390471;-0.250375,0.180327;-0.320423,-0.0609976;-0.335067,-0.291775;-0.291775,-0.472102;-0.198032,-0.570798;-0.0700481,-0.570798;0.0700481,-0.472102;0.198032,-0.291775;0.291775,-0.0609976;0.335067,0.180327;0.320423,0.390471;0.250375,0.533099;0.137035,0.58355;3.40499e-16
0.670134;-8.62567e-18,0.612198;-0.0286481,0.448407;-0.0523426,0.207083;-0.0669867,-0.0700481;-0.0700481,-0.335067;-0.0609976,-0.54215;-0.0414,-0.65549;-0.014644,-0.65549;0.014644,-0.54215;0.0414,-0.335067;0.0609976,-0.0700481;0.0700481,0.207083;0.0669867,0.448407;0.0523426,0.612198;0.0286481,0.670134;7.11836e-17
0.640846;2.55e-17,0.585442;0.0846921,0.42881;0.15474,0.198032;0.198032,-0.0669867;0.207083,-0.320423;0.180327,-0.518455;0.122391,-0.626842;0.0432921,-0.626842;-0.0432921,-0.518455;-0.122391,-0.320423;-0.180327,-0.0669867;-0.207083,0.198032;-0.198032,0.42881;-0.15474,0.585442;-0.0846921,0.640846;-2.1044e-16
0.50075;5.52165e-17,0.457458;0.183388,0.335067;0.335067,0.15474;0.42881,-0.0523426;0.448407,-0.250375;0.390471,-0.405115;0.265019,-0.489807;0.0937426,-0.489807;-0.0937426,-0.405115;-0.265019,-0.250375;-0.390471,-0.0523426;-0.448407,0.15474;-0.42881,0.335067;-0.335067,0.457458;-0.183388,0.50075;-4.55676e-16
0.27407;7.53856e-17,0.250375;0.250375,0.183388;0.457458,0.0846921;0.585442,-0.0286481;0.612198,-0.137035;0.533099,-0.221727;0.361823,-0.26808;0.127984,-0.26808;-0.127984,-0.221727;-0.361823,-0.137035;-0.533099,-0.0286481;-0.612198,0.0846921;-0.585442,0.183388;-0.457458,0.250375;-0.250375,0.27407;-6.22122e-16
6.80997e-16;8.25198e-17,6.22122e-16;0.27407,4.55676e-16;0.50075,2.1044e-16;0.640846,-7.11836e-17;0.670134,-3.40499e-16;0.58355,-5.50938e-16;0.396065,-6.66116e-16;0.140096,-6.66116e-16;-0.140096,-5.50938e-16;-0.396065,-3.40499e-16;-0.58355,-7.11836e-17;-0.670134,2.1044e-16;-0.640846,4.55676e-16;-0.50075,6.22122e-16;-0.27407,6.80997e-16;-6.80997e-16
